"1";"ruRU";;" Привет, $n.";;;;;;;;;;;;;;
" 2";"ruRU";;" Привет, $N. Могу я чем-нибудь помочь?";;;;;;;;;;;;;;
" 3";"ruRU";" Приветствую, гражданин. Я прошу вас уйти, если вам не о чем просить меня.";;;;;;;;;;;;;;;
" 4";"ruRU";" Я живу только для того, чтобы служить нашему королю.";;;;;;;;;;;;;;;
" 5";"ruRU";" Проходи, гражданин. Здесь не на что смотреть.";;;;;;;;;;;;;;;
" 6";"ruRU";" На страницах книги начинают складываться сотни различных схем и схем. Вы узнаете некоторые из диаграмм, в то время как другие остаются иностранными, но знакомыми.";" На страницах книги начинают складываться сотни различных схем и схем. Вы узнаете некоторые из диаграмм, в то время как другие остаются иностранными, но знакомыми.";;;;;;;;;;;;;;
" 7";"ruRU";" Ассортимент изображений, форм и маркировок собирается вместе на ваших глазах. Книга, кажется, знает о ваших навыках в кожевенном деле и предлагает вам выбор — но будьте осторожны — вы можете выбрать только один, и как только вы это сделаете, не можете передумать!:";" Ассортимент изображений, форм и маркировок собирается вместе на ваших глазах. Книга, кажется, знает о ваших навыках в кожевенном деле и предлагает вам выбор — но будьте осторожны — вы можете выбрать только один, и как только вы это сделаете, не можете передумать!:";;;;;;;;;;;;;;
"18";"ruRU";"Оставайся рядом со мной, $N. Мы можем нуждаться друг в друге.";;;;;;;;;;;;;;;
"24";"ruRU";"Ах, $N! Маленькая птичка сказала мне, что ты придешь.$B$BТак Авиана рассылает сообщения.";;;;;;;;;;;;;;;
"34";"ruRU";"Какая профессия?";"Какая профессия?";;;;;;;;;;;;;;
"42";"ruRU";"Смертокрыл вернулся. Он захватил Грим Батол и большую часть высокогорья, и я чувствую себя почти бессильным остановить его.";;;;;;;;;;;;;;;
"48";"ruRU";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";;;;;;;;;;
"9565";"ruRU";"Вы хотите улучшить свои навыки обращения с оружием? Наш оружейный мастер находится на самом высоком уровне уровня Торговца, на Террасе Воинов.";"Вы хотите улучшить свои навыки обращения с оружием? Наш оружейный мастер находится на самом высоком уровне уровня Торговца, на Террасе Воинов.";;;;;;;;;;;;;;
"9566";"ruRU";"Да, $t Citizen : Citizen, на что важное вы хотите обратить мое внимание?";;;;;;;;;;;;;;;
"9567";"ruRU";"Хранилища Экзодара обширны и хорошо защищены. Здесь вашему товару не будет никакого вреда.";"Хранилища Экзодара обширны и хорошо защищены. Здесь вашему товару не будет никакого вреда.";"Мы контролируем доступ к хранилищам Экзодара. Есть ли товары, которые вы хотите сохранить или удалить?";"Мы контролируем доступ к хранилищам Экзодара. Есть ли товары, которые вы хотите сохранить или удалить?";;;;;;;;;;;;
"9568";"ruRU";;"Привет! Как вы думаете, вы могли бы помочь мне выбраться отсюда?";;;;;;;;;;;;;;
"9574";"ruRU";"Да? Что это?";;;;;;;;;;;;;;;
"9575";"ruRU";"Я не думаю, что вы пришли с новостями о шахтах, не так ли?";;;;;;;;;;;;;;;
"9577";"ruRU";"Здесь не на что смотреть. Двигайтесь вперед.";"Здесь не на что смотреть. Двигайтесь вперед.";"Это не касается вас. Будь в пути.";"Это не касается вас. Будь в пути.";;;;;;;;;;;;
"9578";"ruRU";"Спасибо вам, друзья, я обязан вам своей свободой. Где Тарета? Я надеялся увидеть ее в последний раз и поблагодарить перед уходом в горы.";;;;;;;;;;;;;;;
"9579";"ruRU";"Что ты этим имеешь ввиду? Тарета в опасности?";;;;;;;;;;;;;;;
"9580";"ruRU";"Я не буду этого делать. Я просто не могу оставить Тарету в опасности, пока убегаю в горы. Я не трус. Теперь, где она?";;;;;;;;;;;;;;;
"9583";"ruRU";"Не смотри так удивленно, увидев меня здесь, $r. Пришествие дренеев и их союз с моим народом было предсказано Курцем Откровением.";;;;;;;;;;;;;;;
"9584";"ruRU";"<Когда вы приветствуете посла Фрасабу на языке фурболгов, он улыбается.>$B$BВы, должно быть, тот, о ком говорится в пророчестве. Для меня большая честь познакомиться с вами.";;;;;;;;;;;;;;;
"9586";"ruRU";"За годы, проведенные в Лиге исследователей, я объездил весь Азерот, но никогда не видел ничего похожего на Bloodmyst.";;;;;;;;;;;;;;;
"9587";"ruRU";"Пожалуйста, не говори мне ничего. Я не хочу иметь больше проблем с ними.";"Пожалуйста, не говори мне ничего. Я не хочу иметь больше проблем с ними.";;;;;;;;;;;;;;
"9591";"ruRU";;"Мы только что прибыли сюда, а уже похоронили слишком много наших друзей и товарищей.";;;;;;;;;;;;;;
"9595";"ruRU";;"Если вы здесь не для того, чтобы помочь делу, уходите.";;;;;;;;;;;;;;
"9596";"ruRU";"С вашей помощью, возможно, мы сможем выиграть эту вещь!";;;;;;;;;;;;;;;
"9597";"ruRU";"Мельница Таррен лежит за этими деревьями. Волнение в Дарнхольде должно дать нам немного времени, чтобы найти Тарету, прежде чем вся сельская местность будет наводнена человеческими солдатами. Давай проверим ближайший сарай, а потом отправимся в город.";;;;;;;;;;;;;;;
"9598";"ruRU";"Вы можете совершать покупки у меня, используя жетоны битвы и исследований Халаа.";;;;;;;;;;;;;;;
"9599";"ruRU";"Я могу научить вас снимать кожу. Заинтересованы?";"Я могу научить вас снимать кожу. Заинтересованы?";;;;;;;;;;;;;;
"9602";"ruRU";"Ты имеешь в виду таверну Луносвета или пристанище странника?";"Ты имеешь в виду таверну Луносвета или пристанище странника?";;;;;;;;;;;;;;
"9603";"ruRU";"Таверна Wayfarer's Rest расположена между Аллеей Старейшин и Базаром. Вы можете добраться до него из любого места.";"Таверна Wayfarer's Rest расположена между Аллеей Старейшин и Базаром. Вы можете добраться до него из любого места.";;;;;;;;;;;;;;
"9610";"ruRU";;"Спасибо, что помогли Траллу сбежать, друзья. Теперь я только надеюсь, что вы можете помочь мне, а также. Я проснулся сегодня утром и обнаружил, что оказался в ловушке в этой волшебной тюрьме. Странный волшебник сказал мне, что мне придется остаться здесь на некоторое время.";;;;;;;;;;;;;;
"9613";"ruRU";;"Да, друзья. Этот человек не был волшебником Даларана. Его одежда выглядела довольно иностранной, и его акцент был незнакомым. Все, о чем он мог бормотать, было время это, время это. Тебе придется найти этого волшебника и убедить его освободить меня.";;;;;;;;;;;;;;
"9614";"ruRU";"Я рад, что Тарета жива. Теперь мы должны найти способ освободить ее от магических оков.";;;;;;;;;;;;;;;
"9615";"ruRU";;"Как представитель Нижнего города, я здесь, чтобы выдвинуть наше мнение о том, что Аукиндон должен быть очищен от нашествия Совета Теней. То есть, если у нас есть хоть какая-то надежда на будущее и предотвращение возможности катаклизма большего, чем создание Костяных Пустошей! $B$BВсе наши народы уже слишком много пострадали. Я здесь, чтобы позаботиться о том, чтобы страдания прекратились!";;;;;;;;;;;;;;
"9617";"ruRU";"Присаживайтесь, $g брат:сестра;. Разрушения Зангартопи могут многое отнять у $g man:woman;.";;;;;;;;;;;;;;;
"9618";"ruRU";"Если вы хотите отдохнуть здесь, вам просто нужно спросить!";;;;;;;;;;;;;;;
"9619";"ruRU";"Спасибо за помощь в приготовлении бальзама, $N. Как только у него появится шанс притупить боль, я посмотрю, как далеко я смогу продвинуться на этой ноге.";;;;;;;;;;;;;;;
"9620";"ruRU";;"Добро пожаловать в Гарадар, незнакомец. Вы ищете место для отдыха?";;;;;;;;;;;;;;
"9621";"ruRU";"А... может, еще один шаман ищет просветления? Духи говорят непонятно? Желаете ли вы моей помощи в том, чтобы увидеть, что лежит перед вами?";;;;;;;;;;;;;;;
"9622";"ruRU";"Я Скалтеш, проводник шамана, ищущего здесь просветления... но даже тем, кто идет разными путями, можно кое-что показать. Вы хотите увидеть?";;;;;;;;;;;;;;;
"9623";"ruRU";"Выпейте из этого флакона, и туман на короткое время рассеется. Иди с духами, мой друг.";;;;;;;;;;;;;;;
"9624";"ruRU";"Силанн, одного из лучших поваров в городе, можно найти наверху в таверне «Приют странника». Там же вы можете купить кухонные принадлежности у ее помощника.";"Силанн, одного из лучших поваров в городе, можно найти наверху в таверне «Приют странника». Там же вы можете купить кухонные принадлежности у ее помощника.";;;;;;;;;;;;;;
"9625";"ruRU";;;;;;;;;;;;;;;;
"9626";"ruRU";"Дедушка Зима оставляет игрушки для всех под елкой в Стальгорне во время праздника Зимнего Покрова!";"Дедушка Зима оставляет игрушки для всех под елкой в Стальгорне во время праздника Зимнего Покрова!";;;;;;;;;;;;;;
"9630";"ruRU";"Моя сестра Силанна наивно воспринимает растущую опасность в этих лесах. Но нравится вам это или нет, но как только я загрузю этот фургон, мы переедем в городские стены. $b$bПохоже, у меня здесь больше сумок, чем мне нужно. Возможно, они вам пригодятся.$B";;;;;;;;;;;;;;;
"9631";"ruRU";"У меня мало времени на разговоры, $r. То есть, если вы не хотите помочь с этой проблемой шахты.";;;;;;;;;;;;;;;
"9632";"ruRU";"Не могу отблагодарить тебя за помощь с шахтами. Теперь осталось только убедить горняков вернуться к работе.";;;;;;;;;;;;;;;
"9634";"ruRU";"<Исфар вздыхает.>$B$BA Пара домиков на деревьях не годится для дома, но это было значительно лучше, чем в Сетеккских залах.$B$BКак бы мне ни было удобно в Шаттрате, я не могу заставить себя вернуться домой в Скеттис без моей сестры. Она все еще заперта в Сетеккских залах, ее держит в плену наш старший брат.";;;;;;;;;;;;;;;
"9636";"ruRU";"Это наш шанс! Выпустите меня из этой клетки!";;;;;;;;;;;;;;;
"9637";"ruRU";"Кольцо Испытаний когда-то было местом великой славы и чести. Но затем появился Картель Хитрой Шестеренки со своими фургонами золота и перьями, острее любых орочьих топоров...";;;;;;;;;;;;;;;
"9638";"ruRU";"Сетекки считают себя истинными и самыми верными последователями повелителя всех араккоа. Не спрашивай о хозяине, $r, ибо его тайны предназначены только для пернатых. Они отправились к руинам, взяв с собой реликвии нашего величайшего героя, Терокка.$B$BОни все еще ищут хозяина в руинах храма, но я пришел разглядеть их ложь. Я больше не один из них.";;;;;;;;;;;;;;;
"9639";"ruRU";"Когда я последний раз был в залах, Король Когтей Икисс нес с собой Перо Терокка в знак своей власти.$B$BMМой брат, Ткач Тьмы Сит, носил Маску Терокка во время наших ритуалов. невозможно точно узнать, где он находится, но они обычно хранили его в центре одного из своих рунических кругов в огромных сводчатых залах.";;;;;;;;;;;;;;;
"9640";"ruRU";"«Король Когтей» Икисс — один из лидеров Сетекков вместе с моим братом, Ткачом Тьмы Ситом.$B$BИменно они возглавили исход Сетекков из Скеттиса к руинам Аукиндона. В начале Икисс был харизматическим лидером, но он впал в безумие.$B$BТеперь он открыто заявляет, что он возрожденный Терокк! Он действительно ожидает, что араккоа преклонят колени перед ним как перед своим правителем. Можете ли вы поверить в его высокомерие?";;;;;;;;;;;;;;;
"9641";"ruRU";"Он величайший герой, которого когда-либо знали араккоа.$B$BГоворят, что в древние времена он построил город Скеттис своими когтями. Он был нашим величайшим защитником и защитником, но покинул нас, когда мы отказались от почитания Рухмар.$B$BМы пришли поклоняться новому господину, который обещал нам невиданную силу и статус в космосе.$B$BЕсть некоторые говорят, что Терокк и Рухмар — одно целое, и он удалился от нас, когда мы отвернулись от него.";;;;;;;;;;;;;;;
"9642";"ruRU";"Сплошные мускулы и никаких мозгов, вот что такое пеоны! Они хороши, когда вы можете мотивировать их, но их нужно «подтолкнуть», если вы понимаете, о чем я.";;;;;;;;;;;;;;;
"9643";"ruRU";;"Нравится все, что ты видишь, $c?";;;;;;;;;;;;;;
"9644";"ruRU";"Если у тебя есть деньги, у меня есть то, что тебе нужно.";;;;;;;;;;;;;;;
"9645";"ruRU";;"Оглянитесь вокруг и дайте мне знать, если вас что-то интересует.";;;;;;;;;;;;;;
"9646";"ruRU";;"Не торопитесь, осмотрите оружие. Также ремонтирую оружие и доспехи, если вам нужны такие услуги.";;;;;;;;;;;;;;
"9647";"ruRU";"У меня есть как раз то, что тебе нужно, чтобы произнести заклинание.";;;;;;;;;;;;;;;
"9648";"ruRU";"Потребуется острый клинок и усиленная броня, чтобы вернуть спокойствие в Награнд. Мне починить ваше снаряжение, чтобы вы могли вершить правосудие?";;;;;;;;;;;;;;;
"9649";"ruRU";"Вы ищете реагенты или запасы яда? Если это так, вы пришли в нужное место!";;;;;;;;;;;;;;;
"9650";"ruRU";"Я продаю товары, которые нужны ремесленникам. Только основы, ничего особенного.";;;;;;;;;;;;;;;
"9651";"ruRU";;;;;;;;;;;;;;;;
"9652";"ruRU";;"Вы заблудились? Большинство городских продавцов расположены недалеко от центра города.";;;;;;;;;;;;;;
"9653";"ruRU";;"Я ношу разное, но в основном просто разное.";;;;;;;;;;;;;;
"9654";"ruRU";"Это сводит меня с ума. Я не могу добраться до этих проклятых яиц!";;;;;;;;;;;;;;;
"9656";"ruRU";;"В течение многих лет Оплот Чести противостоял ужасам Полуострова Адского Пламени. Теперь, когда портал снова открылся и из Азерота хлынули потоки помощи, возможно, этому кровавому застою придет конец.";;;;;;;;;;;;;;
"9657";"ruRU";;"Прискорбно, что среди наших многочисленных врагов на Полуострове Адского Пламени есть орки из Цитадели Адского Пламени.$B$BНо... кто лучше бросит вызов и отточит Орду... чем орки?";;;;;;;;;;;;;;
"9659";"ruRU";"Рад снова тебя видеть, $N! Еще несколько настроек, и траектория прыжка станет идеальной!";;;;;;;;;;;;;;;
"9662";"ruRU";"Празднование Лунного фестиваля, проводимое друидами, проходит на Лунной поляне. Если это слишком далеко для вас, они предлагают транспорт от лунного колодца в парке.";"Празднование Лунного фестиваля, проводимое друидами, проходит на Лунной поляне. Если это слишком далеко для вас, они предлагают транспорт от лунного колодца в парке.";;;;;;;;;;;;;;
"9680";"ruRU";"Наслаждаетесь огненным праздником в середине лета, $c?";"Наслаждаетесь огненным праздником в середине лета, $c?";"Праздничное солнцестояние, $c!";"Праздничное солнцестояние, $c!";"Праздник огня в середине лета — отличное время для приключений, но также и для покупок!";"Праздник огня в середине лета — отличное время для приключений, но также и для покупок!";"Фестиваль огня в середине лета — отличное время, чтобы отметить лето!";"Фестиваль огня в середине лета — отличное время, чтобы отметить лето!";"Мне нравится фейерверк в конце фестиваля Midsummer Firefestival.";"Мне нравится фейерверк в конце фестиваля Midsummer Firefestival.";;;;;;
"9686";"ruRU";"Дедушку Зиму можно найти перед банком Стальгорна. На дереве рядом с ним раздают подарки.";"Дедушку Зиму можно найти перед банком Стальгорна. На дереве рядом с ним раздают подарки.";;;;;;;;;;;;;;
"9688";"ruRU";"Отправляйтесь в Таинственный квартал Стальгорна и поговорите там с друидами ночных эльфов. Они могут доставить вас на Лунную поляну, где вы сможете принять участие в праздновании Лунного фестиваля.";"Отправляйтесь в Таинственный квартал Стальгорна и поговорите там с друидами ночных эльфов. Они могут доставить вас на Лунную поляну, где вы сможете принять участие в праздновании Лунного фестиваля.";;;;;;;;;;;;;;
"9690";"ruRU";"Молодые расы поднимают большой шум из-за Зимнего Покрова. Банк Стальгорна - центр празднеств.";"Молодые расы поднимают большой шум из-за Зимнего Покрова. Банк Стальгорна - центр празднеств.";;;;;;;;;;;;;;
"9692";"ruRU";"Празднование Лунного фестиваля в самом разгаре на Лунной поляне. Вы можете отправиться в путь, или друиды в Анклаве Кенария предложат вам транспорт.";"Празднование Лунного фестиваля в самом разгаре на Лунной поляне. Вы можете отправиться в путь, или друиды в Анклаве Кенария предложат вам транспорт.";;;;;;;;;;;;;;
"9694";"ruRU";"Я путешествовал по бесчисленным мирам, но никогда не видел более приятного праздника, чем этот праздник Зимнего Покрова. Вам следует отправиться в Стальгорн, великий город дварфов, чтобы увидеть его своими глазами.";"Я путешествовал по бесчисленным мирам, но никогда не видел более приятного праздника, чем этот праздник Зимнего Покрова. Вам следует отправиться в Стальгорн, великий город дварфов, чтобы увидеть его своими глазами.";;;;;;;;;;;;;;
"9696";"ruRU";"Друиды Азерота устроили большой праздник на Лунной поляне. Если вы найдете гуляк лунного фестиваля в городе, они могут перевезти вас туда.";"Друиды Азерота устроили большой праздник на Лунной поляне. Если вы найдете гуляк лунного фестиваля в городе, они могут перевезти вас туда.";;;;;;;;;;;;;;
"9698";"ruRU";"Если вы хотите по-настоящему насладиться праздником Зимнего Покрова, вам следует отправиться в Оргриммар.";"Если вы хотите по-настоящему насладиться праздником Зимнего Покрова, вам следует отправиться в Оргриммар.";;;;;;;;;;;;;;
"9700";"ruRU";"Если вы найдете гуляк лунного фестиваля в Луносвете, они могут перенести вас на Лунную поляну, чтобы принять участие в праздновании.";"Если вы найдете гуляк лунного фестиваля в Луносвете, они могут перенести вас на Лунную поляну, чтобы принять участие в праздновании.";;;;;;;;;;;;;;
"9702";"ruRU";"Вы найдете Дедушку Зиму в центре Долины Силы. Просто ищите дерево.";"Вы найдете Дедушку Зиму в центре Долины Силы. Просто ищите дерево.";;;;;;;;;;;;;;
"9704";"ruRU";"На Лунной поляне проходит крупнейшее празднование Лунного фестиваля. Если это слишком далеко для путешествия, есть друиды, предлагающие транспорт из Долины Мудрости.";"На Лунной поляне проходит крупнейшее празднование Лунного фестиваля. Если это слишком далеко для путешествия, есть друиды, предлагающие транспорт из Долины Мудрости.";;;;;;;;;;;;;;
"9706";"ruRU";"Празднование Зимнего Покрова согревает в холодное время года, и его сердце находится в Оргриммаре.";"Празднование Зимнего Покрова согревает в холодное время года, и его сердце находится в Оргриммаре.";;;;;;;;;;;;;;
"9708";"ruRU";"Самое масштабное празднование Лунного фестиваля проходит на Лунной поляне. Друиды перенесут вас туда из Древнего Возвышения Громового Утеса.";"Самое масштабное празднование Лунного фестиваля проходит на Лунной поляне. Друиды перенесут вас туда из Древнего Возвышения Громового Утеса.";;;;;;;;;;;;;;
"9710";"ruRU";"Мы все еще продолжаем действовать, но теперь праздник Зимнего Покрова кажется пустым. В Оргриммаре настоящий праздник.";"Мы все еще продолжаем действовать, но теперь праздник Зимнего Покрова кажется пустым. В Оргриммаре настоящий праздник.";;;;;;;;;;;;;;
"9712";"ruRU";"Для многих Отрекшихся луна теперь занимает в наших сердцах место, где когда-то обитало солнце. Однако, если вы решите присоединиться к празднованию, отправляйтесь на Лунную поляну в Калимдоре. Вы найдете друидов в тронном зале над Подгородом, которые перенесут вас туда.";"Для многих Отрекшихся луна теперь занимает в наших сердцах место, где когда-то обитало солнце. Однако, если вы решите присоединиться к празднованию, отправляйтесь на Лунную поляну в Калимдоре. Вы найдете друидов в тронном зале над Подгородом, которые перенесут вас туда.";;;;;;;;;;;;;;
"9713";"ruRU";"Ты - иди сюда. Разве эти лезвия не самого высокого качества? Конечно, вы хотите купить у меня. Вы не найдете такого мастерства и заботы о таком оружии больше нигде, $r.";;;;;;;;;;;;;;;
"9714";"ruRU";"На что ты смотришь, $r?";;;;;;;;;;;;;;;
"9715";"ruRU";"Отправляйтесь в Таинственный квартал Стальгорна и поговорите там с друидами ночных эльфов. Они могут доставить вас на Лунную поляну, где вы сможете принять участие в праздновании Лунного фестиваля.";"Отправляйтесь в Таинственный квартал Стальгорна и поговорите там с друидами ночных эльфов. Они могут доставить вас на Лунную поляну, где вы сможете принять участие в праздновании Лунного фестиваля.";;;;;;;;;;;;;;
"9716";"ruRU";"Самая удивительная из вечеринок Лунного фестиваля проходит на Лунной поляне. Не ходите туда пешком, друиды в Долине Мудрости могут вас перевезти.";"Самая удивительная из вечеринок Лунного фестиваля проходит на Лунной поляне. Не ходите туда пешком, друиды в Долине Мудрости могут вас перевезти.";;;;;;;;;;;;;;
"9717";"ruRU";"Дедушку Зиму можно найти перед банком Стальгорна. На дереве рядом с ним раздают подарки.";"Дедушку Зиму можно найти перед банком Стальгорна. На дереве рядом с ним раздают подарки.";;;;;;;;;;;;;;
"9718";"ruRU";"Вы найдете Дедушку Зиму в центре Долины Силы. Просто ищите дерево.";"Вы найдете Дедушку Зиму в центре Долины Силы. Просто ищите дерево.";;;;;;;;;;;;;;
"9729";"ruRU";"Дикие равнины Награнда предлагают лучшую охоту, которую я когда-либо видел.";;;;;;;;;;;;;;;
"9730";"ruRU";"Ты любишь рыбу, $r? У меня тут рыба. Если вам нравится свежая рыба, самая свежая, приходите попробовать мои изделия.";;;;;;;;;;;;;;;
"9733";"ruRU";"Никогда не смотрите этим Сломанным прямо в глаза. Думаю, они могут высосать из тебя душу, если захотят!";;;;;;;;;;;;;;;
"9734";"ruRU";"Уйди с моего лица, малыш! Разве ты не видишь, что я тренируюсь? Правильно, ваш покорный слуга станет следующим чемпионом Боевого Молота.$B$BYep, я почти готов к Кольцу Крови на севере, в старых руинах Веселого Черепа. Но даже не думай об этом, малыш. Ты слишком слаб. Гаргток, комментатор ринга, не позволял вам даже заглянуть внутрь этого ринга, не говоря уже о том, чтобы драться на нем.";;;;;;;;;;;;;;;
"9735";"ruRU";"Ну посмотри на себя. Разве ты не большой и крутой... Может, ты считаешь себя достаточно сильным, чтобы вступить в Кольцо Крови и сразиться с чемпионом Боевого Молота? Если вы когда-нибудь захотите испытать свою силу, Кольцо Крови находится далеко на севере, напротив гор, разделяющих Награнд и Зангартопь. Гаргток управляет шоу в старых руинах Веселого Черепа, а также раздает призы. Говоря о призах, я слышал, что призы в этом сезоне просто невероятные!";;;;;;;;;;;;;;;
"9738";"ruRU";"Следователь пытается выяснить, что эти эльфы крови делают здесь, в Награнде. Насколько я слышал, они охотятся за остатками кристаллического порошка из Ошу'гуна, алмазной горы к западу. вызвать и остановить этих эльфов крови, конфликт происходит прямо сейчас на северо-западе в Халаа. Эльфы крови и солдаты Руки Аргуса сражаются! Присоединяйтесь и покажите им, что правильно!";"Следователь пытается выяснить, что эти эльфы крови делают здесь, в Награнде. Насколько я слышал, они охотятся за остатками кристаллического порошка из Ошу'гуна, алмазной горы к западу. вызвать и остановить этих эльфов крови, конфликт происходит прямо сейчас на северо-западе в Халаа. Эльфы крови и солдаты Руки Аргуса сражаются! Присоединяйтесь и покажите им, что правильно!";;;;;;;;;;;;;;
"9739";"ruRU";"Дренеи вернулись! Эта группа напала на двух моих лучших наездников на волках, когда они патрулировали западные дороги. Излишне говорить, что мы победили в этой стычке.$B$BТеперь я не знаю, что происходит, но мои разведчики сказали мне, что эльфы крови и дренеи повсюду в Халаа. Я не любитель эльфов крови, но если я что-то и ненавижу, так это дренеев. Если увидишь дренеев или кого-нибудь из их союзников в Халаа, не забудь дать мне пинка им под зад. $B$BХалаа на западе... На случай, если ты хочешь идти сейчас.";"Дренеи вернулись! Эта группа напала на двух моих лучших наездников на волках, когда они патрулировали западные дороги. Излишне говорить, что мы победили в этой стычке.$B$BТеперь я не знаю, что происходит, но мои разведчики сказали мне, что эльфы крови и дренеи повсюду в Халаа. Я не любитель эльфов крови, но если я что-то и ненавижу, так это дренеев. Если увидишь дренеев или кого-нибудь из их союзников в Халаа, не забудь дать мне пинка им под зад. $B$BХалаа на западе... На случай, если ты хочешь идти сейчас.";;;;;;;;;;;;;;
"9749";"ruRU";"У нас уже есть контроль над руинами Twin Spire! Выходи и защищай его!";;;;;;;;;;;;;;;
"9750";"ruRU";"У нас уже есть контроль над руинами Twin Spire! Выходи и защищай его!";;;;;;;;;;;;;;;
"9751";"ruRU";"Эта старая доска дренеев была отремонтирована Куренай и теперь используется для размещения объявлений и объявлений о наградах.";;;;;;;;;;;;;;;
"9752";"ruRU";"Теневой охотник Денджай использует эту доску для публикации важных объявлений и новостей о наградах за врагов Забра'джина.";;;;;;;;;;;;;;;
"9755";"ruRU";"Ааа, ты не удержался, да? Хотите быть лучше, сильнее, быстрее? Каждый из этих амулетов гарантированно делает именно то, что я говорю. Подойдите и купите одну из этих чудесных безделушек! Дешевле в два раза дороже!";;;;;;;;;;;;;;;
"9766";"ruRU";;"Добро пожаловать. Вы отдохнете здесь или, может быть, пообедаете?";;;;;;;;;;;;;;
"9769";"ruRU";;"Мы должны узнать, что стоит за тайной гигантского кристалла, упавшего с небес на Хребте Падшего Неба.";;;;;;;;;;;;;;
"9770";"ruRU";"Иногда прямой подход к проблеме является лучшим.";;;;;;;;;;;;;;;
"9771";"ruRU";"Если вы когда-нибудь попадете в плен к Легиону, скажите им: «Xar il romath da tidesbi». Они мгновенно убьют вас за оскорбление их бога, избавив вас от невыносимых пыток или чего похуже...";;;;;;;;;;;;;;;
"9774";"ruRU";"Мы здесь, чтобы защищать интересы Прибамбасска в Ун'Горо, и это не твое дело.";;;;;;;;;;;;;;;
"9775";"ruRU";;"Полуостров Адского Пламени — это разрушенное царство, безжалостное и неумолимое к своим обитателям. Не забудьте отремонтировать и запастись расходными материалами, прежде чем выходить на улицу.";;;;;;;;;;;;;;
"9777";"ruRU";"Говорите тихо и держите глаза открытыми, $N. Мы окружены врагами здесь.";;;;;;;;;;;;;;;
"9778";"ruRU";"Вы должны использовать зажигательные бомбы в бочках внутри домов для интернированных в Крепости Дарнхольд. После того, как пять бомб будут зажжены и диверсия установлена, найдите Тралла в подвале тюрьмы Дарнхольда и освободите его. Следуйте за ним и следите за тем, чтобы он не умер! Когда вы будете готовы, $B$BBbrazen доставит вас в Дарнхольд.";;;;;;;;;;;;;;;
"9779";"ruRU";"Я могу отвезти вас прямо в Дарнхольд, если вы этого хотите.";;;;;;;;;;;;;;;
"9780";"ruRU";"Ты должен получить от Эроциона пачку зажигательных бомб, прежде чем я отправлю тебя в Дарнхольд. В конце концов, вы бы не хотели терять время.";;;;;;;;;;;;;;;
"9781";"ruRU";"Ужасно... просто ужасно!$B$BМы занимались своими делами по дороге из Зоны 52 в Пустоверти, и они нас сбили! Я знал, что нам не следовало срезать путь, чтобы добраться до леса Тероккар!";;;;;;;;;;;;;;;
"9784";"ruRU";"Экспедиционная точка — ближайшая точка контакта Альянса с Фронтом Легиона. К северу отсюда нет ничего, кроме демона, демона и еще раз демона. Путешествуйте с другом.";;;;;;;;;;;;;;;
"9787";"ruRU";"Демоны иллидари держат меня здесь из-за моих знаний о древних дренейских кристаллах и реликвиях.$B$BОни поработили многих моих людей и используют нас для поиска могущественного кристалла... которого, по всей вероятности, здесь нет.";;;;;;;;;;;;;;;
"9788";"ruRU";"Зачем? Если демоны Иллидана не поймают меня и не поработят снова, то это сделают наги Зангартопи. У моего народа нет надежды.";;;;;;;;;;;;;;;
"9789";"ruRU";"Я больше никогда не пойду по короткому пути, клянусь! Откуда мне было знать, что небо над Полуостровом Адского Пламени настолько опасно?";;;;;;;;;;;;;;;
"9800";"ruRU";"<Когда вы приближаетесь к наару, вас озаряет успокаивающий свет. Медленные музыкальные перезвоны отдаются эхом в вашем уме, и хотя вы не произносите ни слова, вы чувствуете уверенность в безопасности. Добро пожаловать в Шаттрат.>";;;;;;;;;;;;;;;
"9801";"ruRU";"Двигайтесь дальше, если у вас нет дел с флотом.";;;;;;;;;;;;;;;
"9805";"ruRU";"Она красавица, не так ли? Скай'ри... верный грифон нашего командира. Сам Курдран держит аудиторию в своей твердыне. Я забочусь о нашем Скае, когда он занят. Великолепное создание, она; такими же сильными и яростными, как они приходят. Она умрет за Курдрана, так и быть. Более преданной души вы никогда не видели. Это большая честь заботиться о ней, это правда.";;;;;;;;;;;;;;;
"9819";"ruRU";;"Что тебе сказал Гаррош, $n?";;;;;;;;;;;;;;
"9821";"ruRU";;"<Великая Мать Гейя кивает, принимая ваш ответ.>$B$BI больше не может сражаться с духами, $n. Мое время давно прошло. Еще раз хочу поблагодарить вас за все, что вы сделали. Хотя Гаррош может быть непоколебим, многие из моих людей были воодушевлены вашими достижениями. Теперь они готовы бороться за наши права как единый клан.";;;;;;;;;;;;;;
