"ID";"content_default";"content_loc8"
"714";"│ Account: %s (ID: %u), GMLevel: %u";"│ Аккаунт: %s (ID: %u), GMLevel: %u"
"715";"You don't meet Battleground level requirements";"Вы не соответствуете требованиям уровня Battleground"
"716";"│ Last Login: %s (Failed Logins: %u)";"│ Последний вход: %s (Неудачные входы: %u)"
"717";"|cffff0000[BG Queue Announcer]:|r %s -- [%u-%u] Started!|r";"|cffff0000[Диктор очереди BG]:|r %s -- [%u-%u] Запущено!|r"
"718";"|cffff0000[Arena Queue Announcer]:|r %s -- Joined : %ux%u : %u|r";"|cffff0000[Диктор очереди на арену]:|r %s -- Присоединился : %ux%u : %u|r"
"719";"|cffff0000[Arena Queue Announcer]:|r %s -- Exited : %ux%u : %u|r";"|cffff0000[Диктор очереди арены]:|r %s -- Вышел : %ux%u : %u|r"
"720";"Your group is too large for this battleground. Please regroup to join.";"Ваша группа слишком велика для этого поля боя. Пожалуйста, перегруппируйтесь, чтобы присоединиться."
"721";"Your group is too large for this arena. Please regroup to join.";"Ваша группа слишком велика для этой арены. Пожалуйста, перегруппируйтесь, чтобы присоединиться."
"722";"Your group has members not in your arena team. Please regroup to join.";"В вашей группе есть участники, не входящие в вашу команду арены. Пожалуйста, перегруппируйтесь, чтобы присоединиться."
"723";"Your group does not have enough players to join this match.";"В вашей группе недостаточно игроков, чтобы присоединиться к этому матчу."
"727";"Your group has an offline member. Please remove him before joining.";"В вашей группе есть офлайн-участник. Пожалуйста, удалите его перед присоединением."
"728";"Your group has players from the opposing faction. You can't join the battleground as a group.";"В вашей группе есть игроки из противоположной фракции. Вы не можете выйти на поле боя в составе группы."
"729";"Your group has players from different battleground brakets. You can't join as group.";"В вашей группе есть игроки с разных полей боя. Вы не можете присоединиться к группе."
"730";"Someone in your party is already in this battleground queue. (S)he must leave it before joining as group.";"Кто-то из вашей группы уже стоит в очереди на это поле боя. (S) он должен покинуть его, прежде чем присоединиться к группе."
"731";"Someone in your party is Deserter. You can't join as group.";"Кто-то в вашей группе Дезертир. Вы не можете присоединиться к группе."
"732";"Someone in your party is already in three battleground queues. You cannot join as group.";"Кто-то из вашей группы уже находится в трех очередях на поле боя. Вы не можете присоединиться к группе."
"733";"You cannot teleport to a battleground or arena map.";"Вы не можете телепортироваться на поле боя или карту арены."
"734";"You cannot summon players to a battleground or arena map.";"Вы не можете вызывать игроков на поле боя или карту арены."
"735";"You must be in GM mode to teleport to a player in a battleground.";"Вы должны быть в режиме GM, чтобы телепортироваться к игроку на поле боя."
"736";"You cannot teleport to a battleground from another battleground. Please leave the current battleground first.";"Вы не можете телепортироваться на поле боя с другого поля боя. Сначала покиньте текущее поле боя."
"737";"Arenas are set to 1v1 for debugging. So, don't join as group.";"Арены настроены на 1 на 1 для отладки. Итак, не присоединяйтесь к группе."
"738";"Arenas are set to normal playercount.";"Арены настроены на обычное количество игроков."
"739";"Battlegrounds are set to 1v0 for debugging.";"Поле боя настроено на 1 на 0 для отладки."
"740";"Battlegrounds are set to normal playercount.";"На полях сражений установлено нормальное количество игроков."
"741";"Flushing Arena points based on team ratings, this may take a few minutes. Please stand by...";"Сброс очков Арены на основе рейтинга команды может занять несколько минут. Подождите, пожалуйста..."
"742";"Distributing arena points to players...";"Раздача очков арены игрокам..."
"743";"Finished setting arena points for online players.";"Завершена установка очков арены для онлайн-игроков."
"744";"Modifying played count, arena points etc. for loaded arena teams, sending updated stats to online players...";"Изменение количества игр, очков арены и т. д. для загруженных команд арены, отправка обновленной статистики онлайн-игрокам..."
"745";"Modification done.";"Модификация сделана."
"746";"Done flushing Arena points.";"Сброс очков Арены завершен."
"747";"This Battleground has been disabled. You can't join the queue.";"Это поле боя отключено. Вы не можете встать в очередь."
"748";"Arenas have been disabled. You can't join the queue.";"Арены отключены. Вы не можете встать в очередь."
"749";"│ OS: %s - Latency: %u ms";"│ ОС: %s - Задержка: %u мс"
"750";"Not enough players. This game will close in %u mins.";"Недостаточно игроков. Эта игра будет закрыта через %u мин."
"751";"Not enough players. This game will close in %u seconds.";"Недостаточно игроков. Эта игра закроется через %u секунд."
"752";"│ Last IP: %s (Locked: %s)";"│ Последний IP-адрес: %s (заблокировано: %s)"
"785";"Arena testing turned %s";"Тестирование арены закончилось %s"
"786";"|cffff0000[Automatic]:|r";"|cffff0000[Автоматически]:|r"
"787";"|cffffff00[|c1f40af20Announce by|r |cffff0000%s|cffffff00]:|r %s|r";"|cffffff00[|c1f40af20Объявление от|r |cffff0000%s|cffffff00]:|r %s|r"
"800";"Invalid name";"Неправильное имя"
"801";"You do not have enough gold";"У вас недостаточно золота"
"802";"You do not have enough free slots";"У вас недостаточно свободных слотов"
"803";"Your partner does not have enough free bag slots";"У вашего партнера недостаточно свободных слотов для сумок"
"804";"You do not have permission to perform that function";"У вас нет разрешения на выполнение этой функции"
"805";"Unknown language";"Неизвестный язык"
"806";"You don't know that language";"Вы не знаете этот язык"
"807";"Please provide character name";"Пожалуйста, укажите имя персонажа"
"808";"Player %s not found or offline";"Игрок %s не найден или не в сети"
"809";"Account for character %s not found";"Аккаунт для персонажа %s не найден"
"811";"Guild Master";"Мастер гильдии"
"812";"Officer";"Офицер"
"813";"Veteran";"Ветеран"
"814";"Member";"Член гильдии"
"815";"Initiate";"Новичок"
"816";"Warning: You've entered a no-fly zone and are about to be dismounted!";"Предупреждение: вы вошли в бесполетную зону и собираетесь спешиться!"
"817";"Entry %u not found in creature_template table.";"Запись %u не найдена в таблице Creation_template."
"818";"Entry %u not found in sCreatureStorage. Possible new line in creature_template, but you can not add new creatures without restarting. Only modifing is allowed.";"Запись %u не найдена в sCreatureStorage. Возможна новая строка в Creation_template, но нельзя добавлять новых существ без перезагрузки. Допускается только модификация."
"819";"City";"Город"
"843";"│ Level: %u (%u/%u XP (%u XP left))";"│ Уровень: %u (%u/%u опыта (осталось %u опыта))"
"844";"│ Race: %s %s, %s";"│ Раса: %s %s, %s"
"845";"│ Alive ?: %s";"│ Жив ?: %s"
"846";"│ Phase: %u";"│ Фаза: %u"
"847";"│ Money: %ug%us%uc";"│ Деньги: %ug%us%uc"
"848";"│ Map: %s, Zone: %s";"│ Карта: %s, Зона: %s"
"849";"│ Guild: %s (ID: %u)";"│ Гильдия: %s (ID: %u)"
"850";"├─ Rank: %s";"├─ Ранг: %s"
"851";"├─ Note: %s";"├─ Примечание: %s"
"852";"├─ O. Note: %s";"├─ О. Примечание: %s"
"853";"│ Played time: %s";"│ Время воспроизведения: %s"
"854";"│ Mails: %d Read/%u Total";"│ Письма: %d прочитано/%u всего"
"855";"Male";"Мужской"
"856";"Female";"Женский"
"857";"Arena team [%u] not found";"Команда Арены [%u] не найдена"
"858";"There is already an arena team named ""%s""";"Команда арены под названием ""%s""уже существует."
"859";"%s is already in an arena team of that size";"%s уже состоит в команде арены такого размера"
"860";"Arena Team In Combat";"Команда Арены в бою"
"861";"Arena with name: ""%s""or silmilar not found";"Арена с названием: ""%s""или подобное не найдено"
"862";"[%s] not member of the team ""%s""";"[%s] не является членом команды ""%s"""
"863";"[%s] already capitan in the team ""%s""";"[%s] уже капитан в команде ""%s"""
"864";"New ArenaTeam created [Name: ""%s""][Id: %u][Type: %u][Captain GUID: %u]";"Создана новая команда ArenaTeam [Имя: ""%s""][Идентификатор: %u][Тип: %u][Идентификатор GUID капитана: %u]"
"865";"Arena team Name: ""%s""[Id: %u] disbanded";"Название команды арены: ""%s""[Id: %u] распущено"
"866";"Arena team [Id: %u] change from ""%s""to ""%s""";"Команда арены [идентификатор: %u] изменена с ""%s""на ""%s"""
"867";"Arena team Name: ""%s""[Id: %u] change capitan from[%s] to [%s]";"Название команды арены: ""%s""[Id: %u] изменить капитана с [%s] на [%s]"
"868";"Arena team: ""%s""[%u] - Rating: %u - Type: %ux%u";"Команда арены: ""%s""[%u] - Рейтинг: %u - Тип: %ux%u"
"869";"Name:""%s""[guid:%u] - PR: %u - %s";"Имя:""%s""[guid:%u] - PR: %u - %s"
"870";"|""%s""[ID:%u](%ux%u)|";"|""%s""[ID:%u](%ux%u)|"
"871";"│ Level: %u";"│ Уровень: %u"
"872";"Entered email is not equal to registration email, check input";"Введенный адрес электронной почты не совпадает с регистрационным адресом электронной почты, проверьте ввод"
"873";"The new emails do not match";"Новые электронные письма не совпадают"
"874";"The email was changed";"Электронная почта была изменена"
"875";"Your email can't be longer than 64 characters, email not changed!";"Ваш адрес электронной почты не может быть длиннее 64 символов, адрес электронной почты не изменен!"
"876";"Email not changed (unknown error)!";"Электронная почта не изменена (неизвестная ошибка)!"
"877";"Email change unnecessary, new email is equal to old email";"Изменение электронной почты не требуется, новая электронная почта равна старой электронной почте"
"878";"Your email is: %s";"Ваш адрес электронной почты: %s"
"879";"└ Registration Email: %s - Email: %s";"└ Электронная почта для регистрации: %s - Электронная почта: %s"
"880";"Security Level: %s";"Уровень безопасности: %s"
"881";"An email address is required to change your password.";"Для смены пароля требуется адрес электронной почты."
"882";"│ Map: %s, Zone: %s, Area: %s";"│ Карта: %s, Зона: %s, Область: %s"
"883";"Account";"Счет"
"1000";"Exiting daemon...";"Выход из демона..."
"1001";"Account deleted: %s";"Аккаунт удален: %s"
"1002";"The account %s was NOT deleted (the SQL file format was probably updated).";"Учетная запись %s НЕ была удалена (возможно, был обновлен формат файла SQL)."
"1003";"The account %s was NOT deleted (unknown error).";"Учетная запись %s НЕ была удалена (неизвестная ошибка)."
"1004";"Account created: %s";"Аккаунт создан: %s"
"1005";"An account name can NOT be longer than 16 characters (client limit). The account was NOT created.";"Имя учетной записи НЕ может быть длиннее 16 символов (ограничение клиента). Аккаунт НЕ создан."
"1006";"An account with this name already exists!";"Аккаунт с таким именем уже существует!"
"1007";"The account %s was NOT created (the SQL file format was probably updated).";"Учетная запись %s НЕ была создана (формат файла SQL, вероятно, был обновлен)."
"1008";"The account %s was NOT created (unknown error).";"Учетная запись %s НЕ была создана (неизвестная ошибка)."
"1009";"Player %s (Guid: %u) Account %s (Id: %u) deleted.";"Игрок %s (Guid: %u) Аккаунт %s (ID: %u) удален."
"1010";"-[         Account][   Character][             IP][Map][Zone][Exp][GMLev]-";"-[Аккаунт][Персонаж][IP][Карта][Зона][Exp][GMLev]-"
"1011";"|<Error>        | %20s |<Error>          |<Er>| <Error>   |";"|<Ошибка> | %20s |<Ошибка> |<Er>| <Ошибка> |"
"1012";"-==================================================================-";"-================================================ =================-"
"1013";"-[%16s][%12s][%15s][%3d][%4d][%d][%d]-";"-[%16s][%12s][%15s][%3d][%4d][%d][%d]-"
"1014";"No online players.";"Нет онлайн-игроков."
"1015";"-======================== Characters Online =======================-";"-======================= Игроки онлайн ======================= -"
"1016";"| GUID       | Name                 | Account                      | Delete Date         |";"| GUID | Имя | Аккаунт | Дата удаления |"
"1017";"| %10u | %20s | %15s (%10u) | %19s |";"| %10у | %20с | %15s (%10u) | %19с |"
"1018";"==========================================================================================";"================================================== ========================================"
"1019";"No characters found.";"Персонажи не найдены."
"1020";"Restoring the following characters:";"Восстановление следующих персонажей:"
"1021";"Deleting the following characters:";"Удаление следующих символов:"
"1022";"ERROR: You can only assign a new name if you have only selected a single character!";"ОШИБКА: Вы можете назначить новое имя только в том случае, если вы выбрали только один символ!"
"1023";"The character '%s' (GUID: %u Account %u) can NOT be restored: The account does not exist!";"Персонаж '%s' (GUID: %u Учетная запись %u) НЕ МОЖЕТ быть восстановлен: Учетная запись не существует!"
"1024";"The character '%s' (GUID: %u Account %u) can NOT be restored: The account character list is full!";"Персонаж '%s' (GUID: %u Учетная запись %u) НЕВОЗМОЖНО восстановить: Список персонажей учетной записи заполнен!"
"1025";"The character '%s' (GUID: %u Account %u) can NOT be restored: The name is already in use!";"Персонаж '%s' (GUID: %u Аккаунт %u) НЕЛЬЗЯ восстановить: имя уже используется!"
"1026";"GUID: %u Name: %s Account: %s (%u) Date: %s";"GUID: %u Имя: %s Учетная запись: %s (%u) Дата: %s"
"1027";"SQL driver query logging enabled.";"Ведение журнала запросов драйвера SQL включено."
"1028";"SQL driver query logging disabled.";"Ведение журнала запросов драйвера SQL отключено."
"1030";"Account name cannot contain '@' character.";"Имя учетной записи не может содержать символ «@»."
"1031";"An account password can NOT be longer than 16 characters (client limit). The account was NOT created.";"Пароль учетной записи НЕ может быть длиннее 16 символов (ограничение клиента). Аккаунт НЕ создан."
"1100";"The account %s (Id: %u) is allowed to use up to %u expansion(s) now.";"Аккаунт %s (идентификатор: %u) теперь может использовать до %u расширений."
"1101";"Message of the day changed to: %s";"Сообщение дня изменено на: %s"
"1102";"Message sent to %s: %s";"Сообщение отправлено %s: %s"
"1103";"%d - %s %s";"%d - %s %s"
"1104";"%d - %s";"%д - %с"
"1105";"%d - %s";"%д - %с"
"1106";"%d - %s %s";"%d - %s %s"
"1107";"%d - %s";"%д - %с"
"1108";"%d - %s %s";"%d - %s %s"
"1109";"%d - %s %s %s %s";"%d - %s %s %s %s"
"1110";"%d - %s X:%f Y:%f Z:%f MapId:%d %s %s";"%d - %s X:%f Y:%f Z:%f MapId:%d %s %s"
"1111";"%d - %s X:%f Y:%f Z:%f MapId:%d %s %s";"%d - %s X:%f Y:%f Z:%f MapId:%d %s %s"
"1112";"Failed to open file: %s";"Не удалось открыть файл: %s"
"1113";"The account %s (%u) has reached maximum amount of allowed characters (client limitation).";"Учетная запись %s (%u) достигла максимально допустимого количества символов (ограничение клиента)."
"1114";"The dump file contains damaged data!";"Файл дампа содержит поврежденные данные!"
"1115";"Invalid character name!";"Недопустимое имя персонажа!"
"1116";"Invalid character guid!";"Неверный гайд по персонажу!"
"1117";"The character guid %u is already in use!";"Указатель персонажа %u уже используется!"
"1118";"%d - guild: %s (guid: %u) %s";"%d - гильдия: %s (гид: %u) %s"
"1119";"You must use male or female as gender.";"Вы должны использовать мужской или женский пол в качестве пола."
"1120";"You changed the gender of %s to %s.";"Вы изменили пол %s на %s."
"1121";"Your gender was changed to %s by %s.";"Ваш пол был изменен на %s пользователем %s."
"1122";"(%u/%u +perm %u +temp %u)";"(%u/%u +perm %u +temp %u)"
"1123";"No pet found.";"Домашнее животное не найдено."
"1124";"Wrong pet type.";"Неправильный тип питомца."
"1125";"Your pet has learned all talents.";"Ваш питомец изучил все таланты."
"1126";"Your pet talents have been reset.";"Таланты вашего питомца были сброшены."
"1127";"The talents of %s's pet were reset.";"Таланты питомца %s были сброшены."
"1128";"%d - |cffffffff|Htaxinode:%u|h[%s %s]|h|r (Map:%u X:%f Y:%f Z:%f)";"%d - |cffffffff|Htaxinode:%u|h[%s %s]|h|r (Карта:%u X:%f Y:%f Z:%f)"
"1129";"%d - %s %s (Map:%u X:%f Y:%f Z:%f)";"%d - %s %s (Карта:%u X:%f Y:%f Z:%f)"
"1130";"Unable to dump deleted characters, aborting.";"Невозможно сбросить удаленные символы, прерывание."
"1131";"The following characters match your query:";"Вашему запросу соответствуют следующие символы:"
"1132";"Currently Banned Characters:";"В настоящее время запрещенные персонажи:"
"1133";"|   Character   |   BanDate    |   UnbanDate  |  Banned By    |   Ban Reason  |";"| Персонаж | БанДате | UnbanDate | Запрещен | Причина бана |"
"1134";"Sending tickets is allowed.";"Отправка тикетов разрешена."
"1135";"Sending tickets is not allowed.";"Отправка тикетов не допускается."
"1136";"Character %s has never been banned!";"Персонаж %s никогда не был забанен!"
"1137";"Dev mode is ON";"Режим разработки включен"
"1138";"Dev mode is OFF";"Режим разработки выключен"
"1139";"  Follow player %s (lowguid %u)";"Следовать за игроком %s (lowguid %u)"
"1140";"  Follow creature %s (lowguid %u)";"Следовать за существом %s (lowguid %u)"
"1141";"  Follow <NULL>";"Следовать <NULL>"
"1142";"  Effect movement";"Эффект движения"
"1143";"Target's moveFlags: %u, moveFlagsExtra: %u.";"MoveFlags цели: %u, moveFlagsExtra: %u."
"1144";"Target's moveFlags set to: %u, moveFlagsExtra to: %u";"Для moveFlags цели задано значение: %u, для moveFlagsExtra установлено значение: %u"
"1145";"%s is already in a group!";"%s уже в группе!"
"1146";"%s joined %s's group.";"%s присоединился к группе %s."
"1147";"%s is not in a group!";"%s не в группе!"
"1148";"Group is full!";"Группа заполнена!"
"1149";"Group type: %s and consists of %u players.";"Тип группы: %s, состоит из %u игроков."
"1150";"Name: %s (%s), Zone: %s, Phase: %u, GUID: %u, Flags: %s, Roles: %s";"Имя: %s (%s), Зона: %s, Фаза: %u, GUID: %u, Флаги: %s, Роли: %s"
"1151";"Mail List Info: # of mails: %u, Player: %s(%u)";"Информация о списке рассылки: количество писем: %u, игрок: %s(%u)"
"1152";"Mail Id: %u Title: ""%s""Money: %ug%us%uc";"Почтовый идентификатор: %u Заголовок: ""%s""Деньги: %ug%us%uc"
"1153";"Sender: %s(%u), Receiver: %s(%u)";"Отправитель: %s(%u), Получатель: %s(%u)"
"1154";"Time deliver: %s, Time expire: %s";"Время доставки: %s, Срок действия: %s"
"1155";"Item: %s[Entry:%u Guid:%u Count:%u]";"Элемент: %s[Запись:%u Guid:%u Количество:%u]"
"1156";"Mail List Info: No mail found for this character.";"Информация о списке рассылки: для этого персонажа почта не найдена."
"1157";"All configs are reloaded from the configuration file(s).";"Все конфиги перезагружаются из файла(ов) конфигурации."
"1158";"==========================================================";"================================================== ========"
"1159";"|--------------------------------------------------------|";"|--------------------------------------------------------|"
"1160";"|            | Alliance |  Horde   | Neutral  |  Total   |";"| | Альянс | Орда | Нейтральный | Итого |"
"1161";"         Alliance/Horde/Neutral/Total";"Альянс/Орда/Нейтральные/Всего"
"1162";"| %-10s | %8u | %8u | %8u | %8u |";"| %-10 с | %8у | %8у | %8у | %8у |"
"1163";"%-10s = %6u / %6u / %6u / %6u";"%-10s = %6u / %6u / %6u / %6u"
"1164";"Count";"Считать"
"1165";"Item Ratio";"Соотношение предметов"
"1166";"|            | Alliance |   Horde  | Neutral  |  Amount  |";"| | Альянс | Орда | Нейтральный | Сумма |"
"1167";"         Alliance/Horde/Neutral/Amount";"Альянс/Орда/Нейтральный/Количество"
"1168";"Gray";"Серый"
"1169";"White";"Белый"
"1170";"Green";"Зеленый"
"1171";"Blue";"Синий"
"1172";"Purple";"Пурпурный"
"1173";"Orange";"Апельсин"
"1174";"Yellow";"Желтый"
"1175";"Amount of %s items is set to %u.";"Количество элементов %s установлено на %u."
"1176";"Items ratio for %s is set to %u.";"Соотношение предметов для %s установлено на %u."
"1177";"Displaying Guild Details for %s (Id: %u)";"Отображение сведений о гильдии для %s (идентификатор: %u)"
"1178";"| Guild Master: %s (GUID: %u)";"| Глава гильдии: %s (GUID: %u)"
"1179";"| Guild Creation Date: %s";"| Дата создания гильдии: %s"
"1180";"| Guild Members: %u";"| Члены гильдии: %u"
"1181";"| Guild Bank: %u gold";"| Банк гильдии: %u золота"
"1182";"| Guild MOTD: %s";"| MOTD гильдии: %s"
"1183";"| Guild Information: %s";"| Информация о гильдии: %s"
"1184";"Successfully transferred ownership of character %s to account %s";"Успешно передано право собственности на персонажа %s учетной записи %s"
"1185";"%s is not in a raid group!";"%s не входит в рейдовую группу!"
"1186";"%s %s has raid role '%s'.";"%s %s имеет рейдовую роль ""%s""."
"1187";"The raid leader cannot be set as an assistant!";"Рейд-лидер не может быть назначен помощником!"
"1188";"Ban exists";"Бан существует"
"1189";"No instances were found matching your input.";"Экземпляры, соответствующие введенным вами данным, не найдены."
"1190";"Multiple instances match your input - please be more specific:";"Несколько экземпляров соответствуют введенным вами данным. Пожалуйста, будьте более конкретными:"
"1191";"|- '%s' (map #%03u, %s)";"|- '%s' (карта #%03u, %s)"
"1193";"Could not find entrance portal for map '%s' (map #%03u)";"Не удалось найти входной портал для карты '%s' (карта #%03u)"
"1194";"Could not find exit portal for map '%s' (map #%03u)";"Не удалось найти выходной портал для карты '%s' (карта #%03u)"
"1195";"Teleported you to the entrance of '%s' (map #%03u)";"Телепортирует вас ко входу в '%s' (карта #%03u)"
"1196";"Teleported you to the start of '%s' (map #%03u)";"Телепортировал вас в начало '%s' (карта #%03u)"
"1197";"Failed to teleport you to the entrance of '%s' (map #%03u) - are you missing an attunement for map '%s' (#%03u)?";"Не удалось телепортировать вас ко входу в '%s' (карта #%03u) - вам не хватает настройки для карты '%s' (#%03u)?"
"1198";"Failed to teleport you to the start of '%s' (map #%03u) - are you missing an attunement for the instance?";"Не удалось телепортировать вас к началу '%s' (карта #%03u) — вам не хватает настройки для инстанса?"
"1200";"You try to view cinematic %u but it doesn't exist.";"Вы пытаетесь просмотреть кинематографическое изображение %u, но оно не существует."
"1201";"You try to view movie %u but it doesn't exist.";"Вы пытаетесь просмотреть фильм %u, но он не существует."
"1202";"Areatrigger debugging turned on.";"Отладка Areatrigger включена."
"1203";"Areatrigger debugging turned off.";"Отладка Areatrigger отключена."
"1204";"You have reached areatrigger %u.";"Вы достигли области триггера %u."
"1205";"No bosses were found matching your input.";"Не найдено ни одного босса, соответствующего вашему запросу."
"1206";"Multiple bosses match your input - please be more specific:";"Несколько боссов совпадают с вашим входом - пожалуйста, будьте более конкретными:"
"1207";"|- #%05u '%s' (%s)";"|- #%05u '%s' (%s)"
"1208";"Multiple spawn points exist for boss '%s' (creature #%05u) - go to one using .go creature:";"Для босса '%s' (существо #%05u) существует несколько точек возрождения — перейдите к одной из них, используя существо .go:"
"1209";"|- %06u (map #%03u '%s' at %s)";"|- %06u (карта #%03u '%s' в %s)"
"1210";"Failed to teleport you to spawn point %u for boss '%s' (creature #%05u) - are you missing an attunement for map '%s'?";"Не удалось телепортировать вас к точке возрождения %u для босса '%s' (существо #%05u) - вам не хватает настройки для карты '%s'?"
"1211";"Teleported you to spawn point for boss '%s' (creature #%05u, spawnid %u)";"Телепортирует вас к точке возрождения босса '%s' (существо #%05u, spawnid %u)"
"1500";"Either:";"Либо:"
"1501";"Or:    ";"Или же:"
"1502";"Value '%.*s' is not valid for type %s.";"Значение ""%.*s""недопустимо для типа %s."
"1503";"Invalid UTF-8 sequences found in string.";"В строке обнаружены недопустимые последовательности UTF-8."
"1504";"Provided link has invalid link data.";"Предоставленная ссылка содержит неверные данные ссылки."
"1505";"Account '%.*s' does not exist.";"Аккаунт ""%.*s""не существует."
"1506";"Account ID %u does not exist.";"Идентификатор учетной записи %u не существует."
"1507";"%s does not exist.";"%s не существует."
"1508";"Character '%.*s' does not exist.";"Символ ""%.*s""не существует."
"1509";"'%.*s' is not a valid character name.";"""%.*s""не является допустимым именем персонажа."
"1510";"Achievement ID %u does not exist.";"Идентификатор достижения %u не существует."
"1511";"Teleport location %u does not exist.";"Местоположение телепорта %u не существует."
"1512";"Teleport location '%.*s' does not exist.";"Местоположение телепорта ""%.*s""не существует."
"1513";"Item ID %u does not exist.";"Идентификатор элемента %u не существует."
"1514";"Spell ID %u does not exist.";"Идентификатор заклинания %u не существует."
"1515";"Expected '%.*s', got '%.*s' instead.";"Ожидал ""%.*s"", вместо этого получил ""%.*s""."
"2000 г.";"|cff00ff00New ticket from|r|cffff00ff %s.|r |cff00ff00Ticket entry:|r|cffff00ff %d.|r";"|cff00ff00Новый тикет от|r|cffff00ff %s.|r |cff00ff00Запись тикета:|r|cffff00ff %d.|r"
"2001 г.";"|cff00ff00Character|r|cffff00ff %s |r|cff00ff00edited his/her ticket:|r|cffff00ff %d.|r";"|cff00ff00Персонаж|r|cffff00ff %s |r|cff00ff00редактировал свой тикет:|r|cffff00ff %d.|r"
"2002 г.";"|cff00ff00Character|r|cffff00ff %s |r|cff00ff00abandoned ticket entry:|r|cffff00ff %d.|r";"|cff00ff00Character|r|cffff00ff %s |r|cff00ff00запись брошенного тикета:|r|cffff00ff %d.|r"
"2003 г.";"|cff00ff00Closed by|r:|cff00ccff %s|r ";"|cff00ff00Закрыто|r:|cff00ccff %s|r"
"2004 г.";"|cff00ff00Deleted by|r:|cff00ccff %s|r ";"|cff00ff00Удалено|r:|cff00ccff %s|r"
"2005 г.";"Ticket not found.";"Тикет не найден."
"2006 г.";"Please close ticket before deleting it permanently.";"Пожалуйста, закройте тикет, прежде чем удалить его навсегда."
"2007 г.";"Ticket %d is already assigned.";"Тикет %d уже назначен."
"2008 г.";"%u Tickets succesfully reloaded from the database.";"%u Заявки успешно перезагружены из базы данных."
"2009 г.";"Showing list of open tickets.";"Отображение списка открытых тикетов."
"2010";"Showing list of open tickets whose creator is online.";"Отображение списка открытых заявок, создатель которых онлайн."
"2011";"Showing list of closed tickets.";"Отображение списка закрытых тикетов."
"2012";"Invalid name specified. The name must be a name of an online Game Master.";"Указано неверное имя. Имя должно быть именем онлайн-мастера игры."
"2013";"This ticket is already assigned to yourself. To unassign use .ticket unassign %d and then reassign.";"Этот тикет уже назначен вам. Чтобы отменить назначение, используйте .ticket unassign %d, а затем переназначьте."
"2014";"Ticket %d is not assigned, you cannot unassign it.";"Тикет %d не назначен, его нельзя отменить."
"2015";"You cannot unassign tickets from staff members with a higher security level than yourself.";"Вы не можете отменить назначение заявок от сотрудников с более высоким уровнем безопасности, чем у вас."
"2016";"Cannot close ticket %d, it is assigned to another GM.";"Невозможно закрыть заявку %d, она назначена другому GM."
"2017";"|cffaaffaaTicket|r:|cffaaccff %d.|r ";"|cffaaffaaТикет|r:|cffaaccff %d.|r"
"2018";"|cff00ff00Created by|r:|cff00ccff %s|r ";"|cff00ff00Создатель|r:|cff00ccff %s|r"
"2019";"|cff00ff00Last change|r:|cff00ccff %s ago|r ";"|cff00ff00Последнее изменение|r:|cff00ccff %s назад|r"
"2020";"|cff00ff00Assigned to|r:|cff00ccff %s|r ";"|cff00ff00Назначено|r:|cff00ccff %s|r"
"2021";"|cff00ff00Unassigned by|r:|cff00ccff %s|r ";"|cff00ff00Unassigned by|r:|cff00ccff %s|r"
"2022";"|cff00ff00Ticket Message|r: [%s]|r ";"|cff00ff00Сообщение заявки|r: [%s]|r"
"2023";"|cff00ff00GM Comment|r: [%s]|r";"|cff00ff00GM Комментарий|r: [%s]|r"
"2024";"|cff00ccff%s|r |cff00ff00Added comment|r: [%s]|r";"|cff00ccff%s|r |cff00ff00Добавлен комментарий|r: [%s]|r"
"2025";"|cff00ff00Created|r:|cff00ccff %s ago|r ";"|cff00ff00Создано|r:|cff00ccff %s назад|r"
"2027";"There are pending open tickets, please close them first!";"Есть ожидающие открытые заявки, пожалуйста, сначала закройте их!"
"2028";"All closed tickets were deleted and counter is reseted to |cffff00ff 1|r";"Все закрытые заявки были удалены, а счетчик сброшен на |cffff00ff 1|r"
"2029";"|cff00ff00Ticket Response|r: [%s]|r";"|cff00ff00Ответ заявки|r: [%s]|r"
"2030";"|cff00ff00Completed by|r:|cff00ccff %s|r";"|cff00ff00Выполнено|r:|cff00ccff %s|r"
"5000";"You froze player %s.";"Вы заморозили игрока %s."
"5001";"It might be amusing, but no... you cant freeze yourself.";"Это может быть забавно, но нет... ты не можешь замерзнуть."
"5002";"Invalid input, check the name of the target.";"Неверный ввод, проверьте имя цели."
"5003";"You unfroze player %s.";"Вы разморозили игрока %s."
"5004";"There are no frozen players.";"Нет замороженных игроков."
"5005";"Following players are frozen on the server:";"На сервере заморожены следующие игроки:"
"5006";"| %s - Status: Permanently frozen";"| %s - Статус: навсегда заморожен"
"5008";"This instance is closed.";"Этот экземпляр закрыт."
"5009";"Sound %u Played to server";"Звук %u воспроизведен на сервере"
"5010";"linkGUID: %u, Entry: %u (%s)";"linkGUID: %u, запись: %u (%s)"
"5011";"You can't teleport yourself to yourself!";"Вы не можете телепортироваться к себе!"
"5012";"No maps found!";"Карты не найдены!"
"5013";"[Continent]";"[Континент]"
"5014";"[Instance]";"[Пример]"
"5015";"[Battleground]";"[Поле боя]"
"5016";"[Arena]";"[Арена]"
"5017";"[Raid]";"[Рейд]"
"5018";"React state: %s";"Состояние реакции: %s"
"5019";"| %s - Status: %d seconds left";"| %s - Статус: осталось %d секунд"
"5020";"Phasemask: %u";"Фазовая маска: %u"
